segment	word	token.code	dur	step	stepSize	start.time	end.time	jitter	shimmer	hnr	f1	f2	f3	H1Hz	H2Hz	H1-H2	H1dB	H2dB	H1-A1	A1dB	H1-A2	A2dB	H1-A3	A3dB	pitch.range.min	pitch.range.max	prec.seg	next.seg	prec.seg.wd	next.seg.wd	speaker
AS0	aj7iitz7	S01-chunked_aj7iitz7-8-5-10	85.87	1	0.04293	1.887	1.93	0.0201	0.083	NA	904.878	1704.418	3134.05	172.031	344.063	2.4612	42.3834	39.9193	5.1063	37.2713	17.303	25.0637	37.9926	4.3653	132.919	480.015	GS	H	GS	H	S01
AS0	aj7iitz7	S01-chunked_aj7iitz7-8-5-10	85.87	2	0.04293	1.93	1.973	0.01	0.083	15.3843	892.66	1614.035	3190.834	180.174	360.349	4.3829	48.1832	43.7943	7.7433	40.4296	12.8888	35.2783	29.7053	18.4484	132.919	480.015	GS	H	GS	H	S01
IL1	aj7iitz7	S01-chunked_aj7iitz7-8-5-13	123.1	1	0.06155	2.158	2.219	0.0445	0.083	26.7415	405.193	2838.858	3340.49	269.938	539.875	12.827	52.7818	39.8934	15.6004	37.109	25.6645	27.0118	27.3588	25.313	132.919	480.015	GS	TSG	GS	TSG	S01
IL1	aj7iitz7	S01-chunked_aj7iitz7-8-5-13	123.1	2	0.06155	2.219	2.281	0.0098	0.083	32.0204	370.629	2669.106	3361.809	323.286	646.572	14.7921	52.5778	37.7048	-1.6692	54.2579	22.996	29.4677	22.3182	30.1479	132.919	480.015	GS	TSG	GS	TSG	S01
IS0	tijb7ij	S01-chunked_aj7iitz7-8-7-17	140	1	0.07	2.83	2.9	0.006	0.083	23.0557	856.936	2221.01	3340.144	220.911	441.822	-1.4221	47.4889	48.913	21.3093	26.1565	23.952	23.5119	23.1824	24.2821	132.919	480.015	T	H	T	H	S01
IS0	tijb7ij	S01-chunked_aj7iitz7-8-7-17	140	2	0.07	2.9	2.97	0.0361	0.083	20.8273	909.398	2324.981	3451.867	183.035	366.071	7.4173	51.0126	43.5861	24.9471	26.0401	22.3926	28.5965	27.2901	23.6957	132.919	480.015	T	H	T	H	S01
IS1	tijb7ij	S01-chunked_aj7iitz7-8-7-20	510	1	0.255	3.35	3.605	NA	0.083	NA	989.3	3364.453	3650.933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
IS1	tijb7ij	S01-chunked_aj7iitz7-8-7-20	510	2	0.255	3.605	3.86	NA	0.083	NA	1050.795	2715.496	3793.757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
AS1	yaj	S01-chunked_aj7iitz-9-2-3	30	1	0.015	0.51	0.525	NA	0.1254	NA	1273.615	2294.124	3333.815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
AS1	yaj	S01-chunked_aj7iitz-9-2-3	30	2	0.015	0.525	0.54	NA	0.1254	NA	855.369	2493.486	3525.605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
